topic,category,group,count
gaza,dehumanizing,palestinians,108
gaza,dehumanizing,israelis,141
ukraine,dehumanizing,palestinians,0
ukraine,dehumanizing,israelis,30
gaza,humanizing,palestinians,0
gaza,humanizing,israelis,0
ukraine,humanizing,palestinians,45
ukraine,humanizing,israelis,45
